1,Stacie,Bangbayang,10000
2,Cozmo,Chipaque,10500
3,Pearce,Elektrėnai,11000
4,Britt,Folques,11500
5,Debra,Pasirputih,12000
6,Sarina,Xujiahe,12500
7,Nissie,Dimitrovgrad,13000
8,Meridith,Ziyang Chengguanzhen,13500
9,Gifford,Liulang,14000
10,Pinchas,Huangbei,14500
11,Pete,Patemon,15000
12,Rubie,Halteu,15500
13,Christopher,Saint-Jean-de-Védas,16000
14,Amelita,Ōiso,16500
15,Melinda,Al Misrākh,17000
16,Junia,Djibo,17500
17,Teresita,Velyka Bilozerka,18000
18,Thebault,Jiaokou,18500
19,Lillian,Västerhaninge,19000
20,Stefa,Mainri,19500
21,Heath,Teresina,20000
22,Tedmund,Kijang,20500
23,Valeda,Suzdal’,21000
24,Deedee,Birr,21500
25,Laureen,Orléans,22000
26,Gisella,Itapipoca,22500
27,Marta,Banxi,23000
28,Rebecca,Gradići,23500
29,Doyle,Zhutuo,24000
30,Jaye,Lahoysk,24500
31,Giffer,Uarini,25000
32,Hagen,Funes,25500
33,Pauly,Songgang-dong,26000
34,Maddy,Reserva,26500
35,Milissent,Fuli,27000
36,Trenton,Lapu-Lapu City,27500
37,Perrine,Gordeyevka,28000
38,Camile,Ilangay,28500
39,Nealy,Sheli,29000
40,Rosemarie,Shawnee Mission,29500
41,Herman,Delft,30000
42,Vilma,Mallow,30500
43,Hortense,Garunggang,31000
44,Kriste,Bambor,31500
45,Gypsy,Old Harbour Bay,32000
46,Hubie,Tafo,32500
47,Rebekkah,Aravissós,33000
48,Kori,Suining,33500
49,Fawn,Zepita,34000
50,Barrie,Kastsyukovichy,34500
51,Regan,Maple Plain,35000
52,Oberon,Huanoquite,35500
53,Francesca,Ust’-Kachka,36000
54,Gray,Chojna,36500
55,Ara,Santiago del Torno,37000
56,Germana,Chernoyerkovskaya,37500
57,Rollo,Leidian,38000
58,Gaelan,Tarascon,38500
59,Delilah,Pianling,39000
60,Jacquenette,Bozhou,39500
61,Trish,Campo Viera,40000
62,Donia,Leping,40500
63,Collin,Alto do Estanqueiro,41000
64,Dalenna,Ar Ruḩaybah,41500
65,Anitra,Pangkungparuk,42000
66,Corby,Bin Yauri,42500
67,Klarika,El Aguilar,43000
68,Meggi,Rennes,43500
69,Sascha,Yangjian,44000
70,Duane,Tuzhu,44500
71,Gaven,Waitakere,45000
72,Der,Issad,45500
73,Babb,Anping,46000
74,Madelaine,Zhuoshui,46500
75,Kimberli,Castelo,47000
76,Christy,Rancabuaya,47500
77,Betsy,Rajadesa,48000
78,Kayla,Krong Pi Nang,48500
79,Jyoti,Ramotswa,49000
80,Ada,Taoyuan,49500
